[20:16:27] [INFO] Loaded script server_scripts:tfg/ores_and_materials/recipes.alloys.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/ores_and_materials/recipes.beneath_ore.js in 0.002 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/ores_and_materials/recipes.bromine.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/ores_and_materials/recipes.chromium.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/ores_and_materials/recipes.garnet_sand.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/ores_and_materials/recipes.gem_slurries.js in 0.002 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/ores_and_materials/recipes.materials.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/ores_and_materials/recipes.material_ores.js in 0.003 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/ores_and_materials/recipes.material_tag_prefixes.js in 0.003 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/ores_and_materials/recipes.material_tfc.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/ores_and_materials/recipes.material_tools.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/ores_and_materials/recipes.mo_si_b.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/ores_and_materials/recipes.pipes_hidden.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/ores_and_materials/recipes.quartzes.js in 0.0 s
